ASV_ID,Domain,Phylum,Class,Order,Family ,Genus,Species,ASV_ID_2
be16484c238886f6e23bc5fabe0b9c74,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,,be16484c238886f6e23bc5fabe0b9c74
e4c0d9254ee6ebe02d52992ad306ad88,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,s__uncultured_organism,e4c0d9254ee6ebe02d52992ad306ad88
cb91ac51b19787a9f258b9a9fcce52fa,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,,cb91ac51b19787a9f258b9a9fcce52fa
1cac8e41f704f764428a22791d888682,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,,1cac8e41f704f764428a22791d888682
6728dd7b0e7373e4954d98292cc99537,d__Bacteria,p__Proteobacteria,,,,,,6728dd7b0e7373e4954d98292cc99537
0152dd1a5976c5a478c0162c9a750259,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,,,0152dd1a5976c5a478c0162c9a750259
26094c0ba826ce18e53233f318225299,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas_sp.,26094c0ba826ce18e53233f318225299
0c40c62ec9b802321b69f832c15362c2,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Alteromonas,s__uncultured_Alteromonas,0c40c62ec9b802321b69f832c15362c2
a4b2514f07c400077199bfdcdb7f39e9,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__unidentified,a4b2514f07c400077199bfdcdb7f39e9
b74dfbe1db0fb396d786b7bf3a9aa1f8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,b74dfbe1db0fb396d786b7bf3a9aa1f8
e4ac508e54b3ca5dc8c30de83d1dc512,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,e4ac508e54b3ca5dc8c30de83d1dc512
7160db9f3111da26056c27a8d8dcb22b,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__unidentified,7160db9f3111da26056c27a8d8dcb22b
208e8355ca5109b413191ba57e8b72be,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast,,208e8355ca5109b413191ba57e8b72be
728ce1f742fbdbc576c24b16d9007d4c,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,s__uncultured_bacterium,728ce1f742fbdbc576c24b16d9007d4c
d8e7cb14072e3d50a784db49dbaf5cf4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__Methylotenera,s__uncultured_bacterium,d8e7cb14072e3d50a784db49dbaf5cf4
cdd6021da31b4a6e57563359c4219a02,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Planktomarina,s__uncultured_marine,cdd6021da31b4a6e57563359c4219a02
0efcedb149794493908194538991e15a,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,,0efcedb149794493908194538991e15a
29d2537e2719a21808e1e7377d00617d,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas_sp.,29d2537e2719a21808e1e7377d00617d
95b5479dd2055c69ffbcb128e7c371b9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Colwelliaceae,g__Colwellia,s__uncultured_bacterium,95b5479dd2055c69ffbcb128e7c371b9
73d18c430afcfb2fb78a8a7f3db96f93,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,,,73d18c430afcfb2fb78a8a7f3db96f93
1507917e5a942e6030419beac84acd1b,d__Bacteria,,,,,,,1507917e5a942e6030419beac84acd1b
906199c2e7db0d9bf5da478a7427482f,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,,,906199c2e7db0d9bf5da478a7427482f
aec69b80f46c24cdd928b706318d46d8,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,,,aec69b80f46c24cdd928b706318d46d8
cc187fe5aae166c8845cd0d728fe5214,d__Bacteria,p__Proteobacteria,,,,,,cc187fe5aae166c8845cd0d728fe5214
45ffb5f3e62e729e18f249d287e6af32,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,,45ffb5f3e62e729e18f249d287e6af32
8e88e2a343d8c8027839ba4b6706c586,d__Bacteria,p__Proteobacteria,,,,,,8e88e2a343d8c8027839ba4b6706c586
5bf1473ed96ca183c9f9327b6ca615de,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,s__uncultured_bacterium,5bf1473ed96ca183c9f9327b6ca615de
fa5ac4e94b6f0d8a66d49b9ce55e96ee,d__Bacteria,p__Bacteroidota,c__Bacteroidia,,,,,fa5ac4e94b6f0d8a66d49b9ce55e96ee
a0f11660a8e966a0cebfff67d6c7f63d,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS2b_marine_group,s__uncultured_bacterium,a0f11660a8e966a0cebfff67d6c7f63d
e5b2a870f287f71bbf8f58c611e65ba6,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,s__uncultured_bacterium,e5b2a870f287f71bbf8f58c611e65ba6
2f6d3c58ab3f9b0944f88887725a3b02,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Odoribacter,s__unidentified,2f6d3c58ab3f9b0944f88887725a3b02
c290928aca0e98f556e6d8486d30ce09,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiomicrospirales,f__Thioglobaceae,g__SUP05_cluster,,c290928aca0e98f556e6d8486d30ce09
ae7551240de0237aadf8dff0c34b4375,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Alteromonas,,ae7551240de0237aadf8dff0c34b4375
3800fc8bdfa8500716cafc2d151e917e,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,,3800fc8bdfa8500716cafc2d151e917e
ea96f747abdc9ac659804abe3caf4e4a,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,,ea96f747abdc9ac659804abe3caf4e4a
e3115b6bf9ef5ee348f82a8b030a4a47,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__Unknown_Family,g__Marinicella,s__uncultured_bacterium,e3115b6bf9ef5ee348f82a8b030a4a47
8b36aef1686e6b4f7f4b34e53ce34293,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__MWH-CFBk5,g__MWH-CFBk5,s__uncultured_bacterium,8b36aef1686e6b4f7f4b34e53ce34293
c882641946c994ae2c26e808f2ec3b94,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,,c882641946c994ae2c26e808f2ec3b94
31f91434275a915f1321f0018304dc5c,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Fluviicola,s__uncultured_bacterium,31f91434275a915f1321f0018304dc5c
5646e29da0aeff985a0e0975ad7dc1e0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,5646e29da0aeff985a0e0975ad7dc1e0
52c165f0d082dd917342c99e7e5ba33b,d__Bacteria,,,,,,,52c165f0d082dd917342c99e7e5ba33b
3f0acf57e41bf703312af7bd266ba3b0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,s__uncultured_bacterium,3f0acf57e41bf703312af7bd266ba3b0
380421f16ecebc7e17126cb25b93023a,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Colwelliaceae,g__Colwellia,s__uncultured_bacterium,380421f16ecebc7e17126cb25b93023a
ec3fa724803eaa6a1b971d461f4adffb,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,ec3fa724803eaa6a1b971d461f4adffb
908431f8b701480168ee92b183058540,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__Ardenticatenaceae,g__uncultured,s__uncultured_bacterium,908431f8b701480168ee92b183058540
d0ef2bb1951ea32dc6792969eb99e78a,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas_sp.,d0ef2bb1951ea32dc6792969eb99e78a
ea06e776e5d033cd36277735aae77fc3,d__Bacteria,p__Bacteroidota,c__Bacteroidia,,,,,ea06e776e5d033cd36277735aae77fc3
46d925276f66dc1d1954bc95f779e51f,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Polaribacter,s__unidentified_marine,46d925276f66dc1d1954bc95f779e51f
7a23abea9aba7f297b4cf045aa67e64a,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__uncultured,s__uncultured_marine,7a23abea9aba7f297b4cf045aa67e64a
293774265d1b824b6a87cb9bcaf118ce,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,,,293774265d1b824b6a87cb9bcaf118ce
a198ba2907487827ea38340909b77cb6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,,a198ba2907487827ea38340909b77cb6
4deb3ae2b714ca4adab488a367e2a262,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,4deb3ae2b714ca4adab488a367e2a262
